housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,x,y
41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,2,-195860.03721687585,-12857.052118367981
21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,2,-195033.57233808178,-15095.71124875592
52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,2,-196815.3834779239,-16168.012737995014
52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,2,-197695.3503194426,-16143.657761104405
52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,2,-197699.62529299842,-16151.396710391622
52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,2,-197699.34623524323,-16144.255421753507
52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,2,-197720.82719108625,-17257.36225378327
52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,2,-197725.80366772454,-17260.596491625998
42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,2,-198602.02040766043,-17235.916056673508
52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,2,-197728.21917842817,-17262.494974364527
52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,2,-198576.89754775277,-16130.930822964758
52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,2,-198579.59233727318,-16130.185901986435
52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,2,-198580.2944306873,-16129.208478037268
52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,2,-198604.7300653484,-17235.670276493765
52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,2,-198573.8261955813,-16127.908354978543
50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,2,-198577.1404519248,-16127.052611419
52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,2,-199457.41333236,-16104.591818983667
52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,2,-199456.24846383688,-16107.693515146151
50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,2,-198600.00644122486,-17237.211472014897
52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,2,-199476.95143475744,-17219.84408077551
40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,2,-199453.26212476968,-16108.973338914104
42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,2,-199453.0603423613,-16101.132285245229
52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,2,-199477.97426840564,-17214.08335352596
52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,2,-199478.75111100607,-17218.512166925706
52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,2,-199482.18424102446,-17217.51081759343
41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,2,-200335.7243086957,-16085.74806443369
49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,2,-200330.72679725068,-16089.124920680653
52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,2,-200334.81392785747,-16088.318082465325
50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,2,-200362.46240308214,-17199.024244158063
52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,2,-200356.44873901096,-17196.97754173167
49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,2,-200360.3955701901,-17200.154298338108
52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,2,-200363.33871865217,-17191.44402766414
48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,2,-199484.04424390197,-17213.002326833084
49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,2,-199506.85435827487,-18324.006757972296
51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,2,-199511.25670952536,-18326.166975106113
49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,2,-199508.59839361868,-18323.808483136818
48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,2,-199510.32149581236,-18325.65943106357
52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,2,-200383.8938807545,-18304.857704484835
52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,2,-198628.6468864471,-18352.513982919045
52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,2,-198629.2666738145,-18355.628511126153
52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,2,-198629.33955900872,-18347.72830432374
51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,2,-198626.55750165734,-18351.291904833633
49.0,713.0,202.0,462.0,189.0,1.025,118800.0,2,-198602.29923768912,-17239.162251841743
52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,2,-198599.98548381886,-17239.202613306697
52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,2,-198628.85299503763,-18344.604536801577
52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,2,-198630.5103350595,-18352.533410725184
50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,2,-198630.3094267162,-18351.30504304776
43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,2,-199535.9112184081,-19437.74778348487
40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,2,-198656.50685098342,-19465.641705653165
40.0,946.0,375.0,700.0,352.0,1.775,112500.0,2,-199530.64817574082,-19443.568823975045
21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,2,-199536.18136197378,-19442.928074841853
43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,2,-199538.10919927253,-19440.315198895987
41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,2,-199535.76541005692,-19440.798791945446
52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,2,-199538.79943723264,-19442.051357727032
52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,2,-200415.77124405676,-19417.184771512635
52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,2,-200411.94602037343,-19424.60883700382
52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,2,-200413.00761373457,-19422.99125836976
52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,2,-200410.31791213126,-19419.358197662048
52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,2,-200412.37652433975,-19419.100756268017
2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,2,-201295.327689737,-19402.41874412261
52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,2,-201264.518578758,-18288.05182500556
49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,2,-201292.22410187285,-19399.06072839955
50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,2,-201317.0441532883,-20509.033979925327
52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,2,-202198.5026132276,-20487.755635256413
48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,2,-202200.60440905474,-20492.566057589836
52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,2,-202200.57019697397,-20484.860904793255
48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,2,-202199.90595575504,-20493.357813774142
52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,2,-201344.74570845242,-21625.56139661232
52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,2,-202200.70742067508,-20492.02926327614
46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,2,-201317.9114634204,-20507.95067592431
26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,2,-201322.58206564162,-20505.799669405445
46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,2,-201321.19846014524,-20508.220282616094
49.0,844.0,204.0,560.0,152.0,1.75,75000.0,2,-201320.34688562813,-20505.377585688606
46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,2,-201321.68165567334,-20504.58410231443
20.0,835.0,161.0,290.0,133.0,2.483,137500.0,2,-201320.40514930914,-20508.567251541186
17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,2,-200440.58391828297,-20532.615155432373
36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,2,-200441.67910217372,-20528.792107430287
19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,2,-200435.6021826191,-20527.974083657376
23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,2,-201323.45567876715,-20514.666932460852
38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,2,-200470.29428864815,-21645.66215789644
17.0,924.0,289.0,609.0,289.0,1.5,162500.0,2,-200443.389419759,-20529.712061676662
52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,2,-199560.12967041405,-20551.866705591325
52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,2,-200441.89597778497,-20527.65794017911
52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,2,-200441.36534321704,-20529.83547063917
35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,2,-200438.4564989895,-20533.7820017091
52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,2,-200437.87334920288,-20531.2118758671
40.0,880.0,451.0,582.0,380.0,0.977,118800.0,2,-199557.44591645477,-20549.79696970014
10.0,875.0,348.0,546.0,330.0,0.76,162500.0,2,-199560.17371663483,-20555.957349621225
10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,2,-199585.82356538076,-21666.306153210346
52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,2,-199585.61577268006,-21661.477387028746
16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,2,-199584.88728447724,-21666.155375175178
52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,2,-200465.85028475636,-21636.74153741263
52.0,96.0,31.0,191.0,34.0,0.75,162500.0,2,-200464.01777205663,-21640.09978070436
27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,2,-199613.46613612946,-22772.894220015034
39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,2,-199585.9935863288,-21665.96451423457
36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,2,-198710.7644514512,-21687.711549772415
31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,2,-198658.53899562662,-19456.308836637996
29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,2,-198683.5609427111,-20572.091339762323
22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,2,-198652.88868461357,-19458.46372748725
37.0,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,2,-198656.47849028505,-19457.974500820972
29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,2,-197805.27464981828,-20589.987606541254
28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,2,-197803.46932556256,-20589.167770448606
39.0,854.0,242.0,389.0,228.0,3.125,237500.0,2,-197806.9427556738,-20590.219430685975
52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,2,-197800.87543099275,-20591.186696848366
34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,2,-198680.65014192872,-20575.669341423083
52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,2,-196898.57625543175,-19505.617805992253
52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,2,-196928.4327075996,-20609.07011569757
52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,2,-197800.5926358086,-20596.755637442227
52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,2,-196894.01469370944,-19506.559798837174
